kode_jabatan,nama_jabatan
KADIS,Kepala Dinas
SEKRETARIS,Sekretaris
KABID_TANGKAP,Kepala Bidang Perikanan Tangkap
KABID_BUDIDAYA,Kepala Bidang Perikanan Budidaya dan Penguatan Daya Saing
KABID_RUANG_LAUT,Kepala Bidang Pengelolaan Ruang Laut
KABID_PSDKP,Kepala Bidang Pengawasan Sumber Daya Kelautan dan Perikanan
KASUBAG_UMUM,Kepala Sub Bagian Umum dan Kepegawaian
KASUBAG_KEUANGAN,Kepala Sub Bagian Keuangan dan Aset
KASUBAG_TU,Kepala Sub Bagian Tata Usaha
KASIE,Kepala Seksi
ANALIS,Analis
PENELAAH,Penelaah Teknis Kebijakan
PERENCANA,Perencana Ahli Muda
PENATA_KELOLA,Penata Kelola Kelautan dan Perikanan
PENGAWAS,Pengawas Perikanan Ahli Muda
PEMBINA_MUTU,Pembina Mutu Hasil Kelautan dan Perikanan Ahli Muda
PENGELOLA_KESEHATAN,Pengelola Kesehatan Ikan Ahli Muda
PENGELOLA_EKOSISTEM,Pengelola Ekosistem Laut dan Pesisir Ahli Muda
PENGELOLA_PRODUKSI,Pengelola Produksi Perikanan Tangkap Ahli Muda
ANALIS_PASAR,Analis Pasar Hasil Perikanan Ahli Muda
ANALIS_SDM,Analis Sumber Daya Manusia Aparatur Ahli Muda
PENGADMINISTRASI,Pengadministrasi Perkantoran
OPERATOR,Operator Layanan Operasional
PENGOLAH_DATA,Pengolah Data dan Informasi
PENATA_TI,Penata Kelola Sistem dan Teknologi Informasi
ASISTEN_MUTU,Asisten Pembina Mutu Hasil Kelautan dan Perikanan Pelaksana Lanjutan/Mahir
PENATA_LAYANAN,Penata Layanan Operasional
PENGENDALI_AHLI,Pengendali Hama dan Penyakit Ikan Ahli Pertama
PENGENDALI_TERAMPIL,Pengendali Hama dan Penyakit Ikan Pelaksana/Terampil
ANALIS_PASAR_TERAMPIL,Analis Pasar Hasil Perikanan Pelaksana/Terampil
PENGELOLA_LAYANAN,Pengelola Layanan Operasional
